Count,Filename_0,Filename_1,Time_0,Time_1,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai0_scaled,Dev1/ai1_scaled,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
0,,,130.7061,,,,,0.0393,,,,,,,,,,,,
1,,,130.733,,,,,0.6503,,,,,,,,,,,,
2,,,130.7599,,,,,1.7905,,,,,,,,,,,,
3,,,130.7868,,,,,3.0045,,,,,,,,,,,,
4,,,130.8139,,,,,4.2904,,,,,,,,,,,,
5,,,130.8407,,,,,5.573,,,,,,,,,,,,
6,,,130.8676,,,,,6.7647,,,,,,,,,,,,
7,,,130.8945,,,,,7.126,,,,,,,,,,,,
8,,,130.9215,,,,,7.0851,,,,,,,,,,,,
9,,,130.9485,,,,,6.7925,,,,,,,,,,,,
10,,,130.9763,,,,,6.2552,,,,,,,,,,,,
11,,,131.0033,,,,,5.5224,,,,,,,,,,,,
12,,,131.0303,,,,,4.5678,,,,,,,,,,,,
13,,,131.0572,,,,,3.4647,,,,,,,,,,,,
14,,,131.0841,,,,,2.2414,,,,,,,,,,,,
15,,,131.111,,,,,0.98,,,,,,,,,,,,
16,,,131.138,,,,,-0.2446,,,,,,,,,,,,
17,,,131.1649,,,,,-0.9981,,,,,,,,,,,,
18,,,131.1917,,,,,-2.7154,,,,,,,,,,,,
19,,,131.2197,,,,,-3.8808,,,,,,,,,,,,
20,,,131.2467,,,,,-4.8566,,,,,,,,,,,,
21,,,131.2736,,,,,-5.6526,,,,,,,,,,,,
22,,,131.3005,,,,,-6.3278,,,,,,,,,,,,
23,,,131.3274,,,,,-6.8163,,,,,,,,,,,,
24,,,131.3546,,,,,-7.1183,,,,,,,,,,,,
25,,,131.3812,,,,,-7.2733,,,,,,,,,,,,
26,,,131.4082,,,,,-7.253,,,,,,,,,,,,
27,,,131.4352,,,,,-7.1628,,,,,,,,,,,,
28,,,131.462,,,,,-6.7532,,,,,,,,,,,,
29,,,131.49,,,,,-6.1293,,,,,,,,,,,,
30,,,131.5169,,,,,-5.2839,,,,,,,,,,,,
31,,,131.5439,,,,,-4.2556,,,,,,,,,,,,
32,,,131.5707,,,,,-3.0732,,,,,,,,,,,,
33,,,131.5977,,,,,-1.8112,,,,,,,,,,,,
34,,,131.6246,,,,,-0.555,,,,,,,,,,,,
35,,,131.6515,,,,,0.2701,,,,,,,,,,,,
36,,,131.6786,,,,,1.1141,,,,,,,,,,,,
37,,,131.7054,,,,,2.9104,,,,,,,,,,,,
38,,,131.7323,,,,,4.0625,,,,,,,,,,,,
39,,,131.7602,,,,,4.9623,,,,,,,,,,,,
40,,,131.7872,,,,,5.6484,,,,,,,,,,,,
41,,,131.8141,,,,,6.2417,,,,,,,,,,,,
42,,,131.841,,,,,6.6474,,,,,,,,,,,,
43,,,131.868,,,,,6.9107,,,,,,,,,,,,
44,,,131.8949,,,,,6.962,,,,,,,,,,,,
45,,,131.9219,,,,,6.9046,,,,,,,,,,,,
46,,,131.9487,,,,,6.7203,,,,,,,,,,,,
47,,,131.9757,,,,,6.1257,,,,,,,,,,,,
48,,,132.0027,,,,,5.3851,,,,,,,,,,,,
49,,,132.0295,,,,,4.4589,,,,,,,,,,,,
50,,,132.0574,,,,,3.3374,,,,,,,,,,,,
51,,,132.0844,,,,,2.1205,,,,,,,,,,,,
52,,,132.1114,,,,,0.8672,,,,,,,,,,,,
53,,,132.1382,,,,,-0.3323,,,,,,,,,,,,
54,,,132.1652,,,,,-0.9356,,,,,,,,,,,,
55,,,132.1921,,,,,-2.5975,,,,,,,,,,,,
56,,,132.2191,,,,,-3.8012,,,,,,,,,,,,
57,,,132.2459,,,,,-4.7673,,,,,,,,,,,,
58,,,132.2729,,,,,-5.5569,,,,,,,,,,,,
59,,,132.3008,,,,,-6.1895,,,,,,,,,,,,
60,,,132.3278,,,,,-6.6826,,,,,,,,,,,,
61,,,132.3546,,,,,-6.9833,,,,,,,,,,,,
62,,,132.3817,,,,,-7.1267,,,,,,,,,,,,
63,,,132.4085,,,,,-7.117,,,,,,,,,,,,
64,,,132.4356,,,,,-7.021,,,,,,,,,,,,
65,,,132.4624,,,,,-6.6359,,,,,,,,,,,,
66,,,132.4894,,,,,-5.9968,,,,,,,,,,,,
67,,,132.5162,,,,,-5.1547,,,,,,,,,,,,
68,,,132.5431,,,,,-4.1386,,,,,,,,,,,,
69,,,132.5713,,,,,-2.9617,,,,,,,,,,,,
70,,,143.1648,,,,,1.0238,,,,,,,,,,,,
71,,,143.1917,,,,,1.2594,,,,,,,,,,,,
72,,,143.2198,,,,,1.8566,,,,,,,,,,,,
73,,,143.2466,,,,,2.7854,,,,,,,,,,,,
74,,,143.2735,,,,,3.8749,,,,,,,,,,,,
75,,,143.3005,,,,,5.0593,,,,,,,,,,,,
76,,,143.3275,,,,,6.2285,,,,,,,,,,,,
77,,,143.3543,,,,,7.3007,,,,,,,,,,,,
78,,,143.3813,,,,,7.5546,,,,,,,,,,,,
79,,,143.4082,,,,,7.4918,,,,,,,,,,,,
80,,,143.4352,,,,,7.1434,,,,,,,,,,,,
81,,,143.462,,,,,6.5437,,,,,,,,,,,,
82,,,143.49,,,,,5.7551,,,,,,,,,,,,
83,,,143.5169,,,,,4.8414,,,,,,,,,,,,
84,,,143.5439,,,,,3.7212,,,,,,,,,,,,
85,,,143.5709,,,,,2.5169,,,,,,,,,,,,
86,,,143.5976,,,,,1.2504,,,,,,,,,,,,
87,,,143.6246,,,,,0.029,,,,,,,,,,,,
88,,,143.6515,,,,,-0.6897,,,,,,,,,,,,
89,,,143.6785,,,,,-1.5324,,,,,,,,,,,,
90,,,143.7054,,,,,-3.3668,,,,,,,,,,,,
91,,,143.7323,,,,,-4.4302,,,,,,,,,,,,
92,,,143.7602,,,,,-5.2146,,,,,,,,,,,,
93,,,143.7872,,,,,-5.8157,,,,,,,,,,,,
94,,,143.8141,,,,,-6.2988,,,,,,,,,,,,
95,,,143.8412,,,,,-6.6114,,,,,,,,,,,,
96,,,143.868,,,,,-6.7451,,,,,,,,,,,,
97,,,143.8949,,,,,-6.7587,,,,,,,,,,,,
98,,,143.922,,,,,-6.6384,,,,,,,,,,,,
99,,,143.9488,,,,,-6.1876,,,,,,,,,,,,
100,,,143.9757,,,,,-5.5211,,,,,,,,,,,,
101,,,144.0035,,,,,-4.6565,,,,,,,,,,,,
102,,,144.0306,,,,,-3.6207,,,,,,,,,,,,
103,,,144.0575,,,,,-2.5498,,,,,,,,,,,,
104,,,144.0844,,,,,-1.331,,,,,,,,,,,,
105,,,144.1113,,,,,-0.1279,,,,,,,,,,,,
106,,,144.1382,,,,,0.3664,,,,,,,,,,,,
107,,,144.1652,,,,,1.2649,,,,,,,,,,,,
108,,,144.1921,,,,,3.2378,,,,,,,,,,,,
109,,,144.2191,,,,,4.505,,,,,,,,,,,,
110,,,144.2459,,,,,5.3313,,,,,,,,,,,,
111,,,144.2738,,,,,5.9826,,,,,,,,,,,,
112,,,144.3008,,,,,6.5172,,,,,,,,,,,,
113,,,144.3277,,,,,6.8679,,,,,,,,,,,,
114,,,144.3548,,,,,7.0677,,,,,,,,,,,,
115,,,144.3818,,,,,7.1109,,,,,,,,,,,,
116,,,144.4085,,,,,7.0522,,,,,,,,,,,,
117,,,144.4354,,,,,6.8334,,,,,,,,,,,,
118,,,144.4624,,,,,6.3149,,,,,,,,,,,,
119,,,144.4894,,,,,5.4763,,,,,,,,,,,,
120,,,144.5163,,,,,4.5172,,,,,,,,,,,,
121,,,144.5431,,,,,3.4376,,,,,,,,,,,,
122,,,144.5711,,,,,2.2282,,,,,,,,,,,,
123,,,144.5979,,,,,0.9832,,,,,,,,,,,,
124,,,144.6249,,,,,-0.2076,,,,,,,,,,,,
125,,,144.6518,,,,,-0.8953,,,,,,,,,,,,
126,,,144.6788,,,,,-1.9323,,,,,,,,,,,,
127,,,144.7058,,,,,-3.6027,,,,,,,,,,,,
128,,,144.7328,,,,,-4.5962,,,,,,,,,,,,
129,,,144.7596,,,,,-5.3684,,,,,,,,,,,,
130,,,144.7865,,,,,-5.9578,,,,,,,,,,,,
131,,,144.8135,,,,,-6.4303,,,,,,,,,,,,
132,,,144.8413,,,,,-6.6945,,,,,,,,,,,,
133,,,144.8683,,,,,-6.836,,,,,,,,,,,,
134,,,144.8953,,,,,-6.8357,,,,,,,,,,,,
135,,,144.9221,,,,,-6.7087,,,,,,,,,,,,
136,,,144.949,,,,,-6.2991,,,,,,,,,,,,
137,,,144.9759,,,,,-5.6478,,,,,,,,,,,,
138,,,145.0029,,,,,-4.7899,,,,,,,,,,,,
139,,,145.0299,,,,,-3.776,,,,,,,,,,,,
140,,,155.7054,,,,,1.5981,,,,,,,,,,,,
141,,,155.7322,,,,,2.3477,,,,,,,,,,,,
142,,,155.7601,,,,,3.3619,,,,,,,,,,,,
143,,,155.787,,,,,4.5011,,,,,,,,,,,,
144,,,155.814,,,,,5.67,,,,,,,,,,,,
145,,,155.841,,,,,6.8131,,,,,,,,,,,,
146,,,155.8679,,,,,7.5163,,,,,,,,,,,,
147,,,155.8948,,,,,7.5285,,,,,,,,,,,,
148,,,155.9217,,,,,7.2514,,,,,,,,,,,,
149,,,155.9486,,,,,6.7283,,,,,,,,,,,,
150,,,155.9765,,,,,6.0155,,,,,,,,,,,,
151,,,156.0035,,,,,5.1179,,,,,,,,,,,,
152,,,156.0304,,,,,4.0799,,,,,,,,,,,,
153,,,156.0574,,,,,2.9114,,,,,,,,,,,,
154,,,156.0842,,,,,1.6642,,,,,,,,,,,,
155,,,156.1112,,,,,0.4383,,,,,,,,,,,,
156,,,156.1384,,,,,-0.5285,,,,,,,,,,,,
157,,,156.1651,,,,,-1.0973,,,,,,,,,,,,
158,,,156.192,,,,,-2.7554,,,,,,,,,,,,
159,,,156.2189,,,,,-4.0229,,,,,,,,,,,,
160,,,156.2459,,,,,-4.9037,,,,,,,,,,,,
161,,,156.2728,,,,,-5.5604,,,,,,,,,,,,
162,,,156.3007,,,,,-6.0787,,,,,,,,,,,,
163,,,156.3277,,,,,-6.4509,,,,,,,,,,,,
164,,,156.3547,,,,,-6.6336,,,,,,,,,,,,
165,,,156.3817,,,,,-6.6784,,,,,,,,,,,,
166,,,156.4086,,,,,-6.6188,,,,,,,,,,,,
167,,,156.4354,,,,,-6.321,,,,,,,,,,,,
168,,,156.4624,,,,,-5.7735,,,,,,,,,,,,
169,,,156.4894,,,,,-4.9939,,,,,,,,,,,,
170,,,156.5161,,,,,-4.0332,,,,,,,,,,,,
171,,,156.544,,,,,-2.9314,,,,,,,,,,,,
172,,,156.571,,,,,-1.7357,,,,,,,,,,,,
173,,,156.5979,,,,,-0.5472,,,,,,,,,,,,
174,,,156.6248,,,,,0.2768,,,,,,,,,,,,
175,,,156.6518,,,,,1.0267,,,,,,,,,,,,
176,,,156.6788,,,,,2.6758,,,,,,,,,,,,
177,,,156.7056,,,,,4.047,,,,,,,,,,,,
178,,,156.7325,,,,,4.9826,,,,,,,,,,,,
179,,,156.7596,,,,,5.678,,,,,,,,,,,,
180,,,156.7864,,,,,6.2552,,,,,,,,,,,,
181,,,156.8143,,,,,6.6938,,,,,,,,,,,,
182,,,156.8413,,,,,6.9536,,,,,,,,,,,,
183,,,156.8682,,,,,7.0754,,,,,,,,,,,,
184,,,156.8952,,,,,7.0393,,,,,,,,,,,,
185,,,156.9222,,,,,6.923,,,,,,,,,,,,
186,,,156.9489,,,,,6.4911,,,,,,,,,,,,
187,,,156.9759,,,,,5.8298,,,,,,,,,,,,
188,,,157.0029,,,,,4.9752,,,,,,,,,,,,
189,,,157.0297,,,,,3.8266,,,,,,,,,,,,
190,,,157.0567,,,,,2.7535,,,,,,,,,,,,
191,,,157.0845,,,,,1.5263,,,,,,,,,,,,
192,,,157.1116,,,,,0.272,,,,,,,,,,,,
193,,,157.1384,,,,,-0.5524,,,,,,,,,,,,
194,,,157.1655,,,,,-1.1454,,,,,,,,,,,,
195,,,157.1924,,,,,-3.0593,,,,,,,,,,,,
196,,,157.2192,,,,,-4.1998,,,,,,,,,,,,
197,,,157.2461,,,,,-5.0313,,,,,,,,,,,,
198,,,157.2732,,,,,-5.6297,,,,,,,,,,,,
199,,,157.3001,,,,,-6.2356,,,,,,,,,,,,
200,,,157.3272,,,,,-6.5866,,,,,,,,,,,,
201,,,157.3543,,,,,-6.7587,,,,,,,,,,,,
202,,,157.3822,,,,,-6.7906,,,,,,,,,,,,
203,,,157.4359,,,,,-6.3996,,,,,,,,,,,,
204,,,157.4626,,,,,-5.8254,,,,,,,,,,,,
205,,,157.4895,,,,,-5.0358,,,,,,,,,,,,
206,,,157.5164,,,,,-4.089,,,,,,,,,,,,
207,,,157.5435,,,,,-2.9697,,,,,,,,,,,,
208,,,157.5704,,,,,-1.7628,,,,,,,,,,,,
209,,,157.5972,,,,,-0.5608,,,,,,,,,,,,
