,L0,L1,L2,F,time,P,G_L0,K_L1,G_L2
x0,0.005782561444145656,0.0,2.072745718649174e-12,47.73045125337565,131.63812857142852,0.05571010635933378,,,
phi,-49.726285715256964,,-32.195733934713246,-49.72628571426498,131.63812857142852,,,,
Quality,1782.8885260490615,,1886.7216655977063,1912.5195344074452,131.63812857142852,,,,
G0,,,,,131.63812857142852,,9634157.26705947,,
phi_G0,,,,,131.63812857142852,,-8.499999999008018,,
K1,,,,,131.63812857142852,,,0.0,
phi_K1,,,,,131.63812857142852,,,,
G2,,,,,131.63812857142852,,,,2.687744370092851e+16
phi_G2,,,,,131.63812857142852,,,,153.96944822044827
